,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
39,0.4351917266845703,0.06857983764507856,0.011110067367553711,0.0039318311563081515,0.4,8,11,100,1,"{'colsample_bytree': 0.4, 'max_depth': 8, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-85.79534369127711,-97.62114769002253,-99.31245724139855,-100.63782481958664,-111.60840560556915,-98.9950358095708,8.222117127482388,41
40,0.48473420143127444,0.015237228429915307,0.01348581314086914,0.006270822342035744,0.4,10,5,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 10, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-90.68821876246174,-105.7390452437896,-106.83004952800589,-106.83516207144653,-115.49483994597284,-105.11746311033531,8.02699008031142,77
41,0.48386569023132325,0.03385498345546449,0.012790393829345704,0.002634064920686131,0.4,10,5,100,1,"{'colsample_bytree': 0.4, 'max_depth': 10, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 1}",-90.85195785867373,-102.27846586801164,-106.0154702971204,-103.74093429492507,-115.74413937721845,-103.72619353918985,7.968862996656914,71
42,0.47922549247741697,0.022380686493403416,0.01305685043334961,0.003218923771198769,0.4,10,7,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 10, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 0.8}",-90.67019763095712,-106.81061546710079,-106.68012366375912,-107.92537275200948,-113.72369985986225,-105.16200187473775,7.693814421691264,78
43,0.41986737251281736,0.01106851206342606,0.010303258895874023,0.0006852459386211681,0.4,10,7,100,1,"{'colsample_bytree': 0.4, 'max_depth': 10, 'min_child_weight': 7, 'n_estimators': 100, 'subsample': 1}",-89.59757758200534,-99.87442829849718,-103.54127865053104,-104.5337738954195,-115.60251063765294,-102.6299138128212,8.368727806708076,65
44,0.47533254623413085,0.05169087195763312,0.014151763916015626,0.0020467006971992122,0.4,10,9,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 10, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 0.8}",-90.88882972163023,-103.09268730890304,-105.94314900430992,-105.90587203633412,-113.77746773867435,-103.92160116197033,7.425662558337256,72
45,0.4571367740631104,0.011947887588509565,0.012096452713012695,0.0029175234098084944,0.4,10,9,100,1,"{'colsample_bytree': 0.4, 'max_depth': 10, 'min_child_weight': 9, 'n_estimators': 100, 'subsample': 1}",-89.16842935989928,-99.71375368857271,-102.70410303687008,-103.80635314104714,-112.85794985211426,-101.65011781570068,7.6278147240436835,61
46,0.5432863712310791,0.10469684915525154,0.012941646575927734,0.003082189572757781,0.4,10,11,100,0.8,"{'colsample_bytree': 0.4, 'max_depth': 10, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 0.8}",-92.11783589407187,-103.83200305173568,-104.56334366733951,-103.27497287553234,-114.4338995800639,-103.64441101374867,7.0751835318204925,70
47,0.5896556854248047,0.13145501020791667,0.018615341186523436,0.007875545302519533,0.4,10,11,100,1,"{'colsample_bytree': 0.4, 'max_depth': 10, 'min_child_weight': 11, 'n_estimators': 100, 'subsample': 1}",-87.55102312689246,-98.72001069528213,-102.88452464807555,-101.85890518050032,-113.74051349271764,-100.95099542869362,8.398466029452992,59
48,0.7690383911132812,0.0943442655971954,0.0069694995880126955,0.0007540568306763929,0.6,6,5,100,0.8,"{'colsample_bytree': 0.6, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",-82.64563473955157,-93.51415659720625,-99.6526348523857,-98.06929459417243,-107.97079556923505,-96.37050327051021,8.30368344300459,22
