Datetime,site_name,CI0_cm,CI1_cm,Iclr,I,k,HR,CI0_ov,CI1_ov
2023-02-12 15:30:00+07:00,ISL033,0.2431372549019607,0.2431372549019607,532.8926784387038,551.1387,1.0342395801247528,15,0.0549019607843137,0.0745098039215686
2023-02-12 16:00:00+07:00,ISL033,0.2392156862745098,0.2431372549019607,428.4865669772884,447.3052,1.0439188401061568,16,0.0784313725490196,0.0549019607843137
2023-02-13 08:00:00+07:00,ISL033,0.4156862745098039,0.4117647058823529,185.94777942978615,235.5814,1.2669223624095791,8,0.0196078431372549,0.0274509803921568
2023-02-13 08:30:00+07:00,ISL033,0.3411764705882353,0.4156862745098039,303.7587754431864,324.347,1.067778205014078,8,0.0392156862745098,0.0196078431372549
2023-02-13 09:00:00+07:00,ISL033,0.3647058823529411,0.3411764705882353,418.1035400501384,409.0558,0.9783600491661624,9,0.1254901960784313,0.0392156862745098
2023-02-13 11:30:00+07:00,ISL033,0.3607843137254902,0.3647058823529411,809.500560216892,860.3212,1.0627802404108175,11,0.0784313725490196,0.0549019607843137
2023-02-13 12:00:00+07:00,ISL033,0.3137254901960784,0.3607843137254902,838.6176640665252,772.7147,0.9214147675509762,12,0.1215686274509803,0.0784313725490196
2023-02-13 12:30:00+07:00,ISL033,0.3372549019607843,0.3137254901960784,849.1186632790037,901.0819,1.0611966724654622,12,0.0784313725490196,0.1215686274509803
2023-02-13 13:00:00+07:00,ISL033,0.3294117647058823,0.3372549019607843,840.8006210413884,954.4958,1.13522252019485,13,0.0862745098039215,0.0784313725490196
2023-02-13 13:30:00+07:00,ISL033,0.3294117647058823,0.3294117647058823,813.8242095247771,610.7343,0.7504499041096737,13,0.0980392156862745,0.0862745098039215
2023-02-13 14:00:00+07:00,ISL033,0.4196078431372549,0.3294117647058823,768.7147419773379,825.549,1.0739341330653671,14,0.1058823529411764,0.0980392156862745
2023-02-13 14:30:00+07:00,ISL033,0.3058823529411765,0.4196078431372549,706.3669757511929,732.9199,1.037590834736532,14,0.0901960784313725,0.1058823529411764
2023-02-13 15:00:00+07:00,ISL033,0.2745098039215686,0.3058823529411765,628.0596453015529,628.0239,0.9999430861354964,15,0.0823529411764705,0.0901960784313725
2023-02-13 15:30:00+07:00,ISL033,0.2745098039215686,0.2745098039215686,535.4953766538127,514.3382,0.9604904587859956,15,0.0705882352941176,0.0823529411764705
2023-02-13 16:00:00+07:00,ISL033,0.2784313725490196,0.2745098039215686,430.9066269409024,410.891,0.9535499672330464,16,0.0745098039215686,0.0705882352941176
2023-02-14 08:00:00+07:00,ISL033,0.4862745098039215,0.4313725490196078,187.8470334962068,195.5934,1.0412376302122952,8,0.0,0.0156862745098039
